Glottocode,ID,Language,Cognate_Set,Form,Concept,Concept_ID,Source,Source_Page,Comment,Latitude,Longitude,Macro_Region,Family,Country
akun1241,1,Ak = Akuntsú,I-1,õn,I/ME,2301,Galucio et al. 2015,249,NA,-12.8322,-60.9716,South America,Tupian,Brazil
arua1261,2,Ar = Aruá,I-1,õõt,I/ME,2301,Galucio et al. 2015,249,NA,-12.1186,-62.4357,South America,Tupian,Brazil
awet1244,3,Aw = Awetí,I-2,ito,I/ME,2301,Galucio et al. 2015,249,NA,-12.381944,-53.391944,South America,Tupian,Brazil
gavi1246,4,Gv = Gavião,I-1,õõt,I/ME,2301,Galucio et al. 2015,249,NA,-10.7235,-61.6752,South America,Tupian,Brazil
juru1256,5,Ju = Jurúna,I-1,una,I/ME,2301,Galucio et al. 2015,249,NA,-10.9354,-53.3472,South America,Tupian,Brazil
karo1305,6,Ka = Káro,I-1,ʔõn,I/ME,2301,Galucio et al. 2015,249,NA,-10.3342,-61.5691,South America,Tupian,Brazil
kari1311,7,Kt = Karitiána,I-1,ĩn,I/ME,2301,Galucio et al. 2015,249,NA,-9.37937,-64.1522,South America,Tupian,Brazil
kuru1309,8,Ku = Kuruáya,I-1,õn,I/ME,2301,Galucio et al. 2015,249,NA,-3.09561,-52.2303,South America,Tupian,Brazil
maku1278,9,Ma = Makuráp,I-1,õn,I/ME,2301,Galucio et al. 2015,249,NA,-11.8701,-64.3201,South America,Tupian,Brazil
saki1248,10,Me = Mekéns,I-1,õn,I/ME,2301,Galucio et al. 2015,249,NA,-13.054,-62.0927,South America,Tupian,Brazil
mund1330,11,Mu = Mundurukú,I-1,ṍn,I/ME,2301,Galucio et al. 2015,249,NA,-8.41095,-57.691,South America,Tupian,Brazil
sate1243,12,Mw = Mawé,I-2,ujto,I/ME,2301,Galucio et al. 2015,249,NA,-3.63897,-56.8749,South America,Tupian,Brazil
para1311,13,Pg = Paraguayan Guaraní,I-2,ʃe,I/ME,2301,Galucio et al. 2015,249,NA,-25.60551,-57.08816,South America,Tupian,Paraguay
tenh1241,14,Pt = Parintintín,I-2,ji ~ hi,I/ME,2301,Galucio et al. 2015,249,NA,-7.92626,-61.936,South America,Tupian,Brazil
